192.168.1.124, -, 15/09/2021, 23:42:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /, -
192.168.1.124, -, 15/09/2021, 23:42:49, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/fontawesome-free/css/all.min.css, -
192.168.1.124, -, 15/09/2021, 23:42:49, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/sb-admin-2.min.css, -
192.168.1.124, -, 15/09/2021, 23:42:49, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/jquery/jquery.min.js, -
192.168.1.124, -, 15/09/2021, 23:42:49, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/font/GSans.css, -
192.168.1.124, -, 15/09/2021, 23:42:49, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/customcss.css, -
192.168.1.124, -, 15/09/2021, 23:42:49, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/bootstrap/js/bootstrap.bundle.min.js, -
192.168.1.124, -, 15/09/2021, 23:42:49, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/jAlert/jAlert.css, -
192.168.1.124, -, 15/09/2021, 23:42:49, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/jquery-easing/jquery.easing.min.js, -
192.168.1.124, -, 15/09/2021, 23:42:49, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/datatables/jquery.dataTables.min.js, -
192.168.1.124, -, 15/09/2021, 23:42:49, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/datatables/dataTables.bootstrap4.min.js, -
192.168.1.124, -, 15/09/2021, 23:42:50, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/sb-admin-2.min.js, -
192.168.1.124, -, 15/09/2021, 23:42:50, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/jAlert/jAlert.min.js, -
192.168.1.124, -, 15/09/2021, 23:42:50, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/jAlert/jAlert-functions.min.js, -
192.168.1.124, -, 15/09/2021, 23:42:50, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/img/login_bg.jpg, -
192.168.1.124, -, 15/09/2021, 23:42:51, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2, -
192.168.1.124, -, 15/09/2021, 23:43:03, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, POST, /enrollment, -
192.168.1.124, -, 15/09/2021, 23:43:40, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, POST, /login_attempt, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, POST, /second_factor, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /landing, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/fontawesome-free/css/all.min.css, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/font/GSans.css, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/sb-admin-2.min.css, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/customcss.css, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/jAlert/jAlert.css, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/datatables/dataTables.bootstrap4.min.css, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/jquery/jquery.min.js, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/bootstrap/js/bootstrap.bundle.min.js, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/jquery-easing/jquery.easing.min.js, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/datatables/jquery.dataTables.min.js, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/datatables/dataTables.bootstrap4.min.js, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/sb-admin-2.min.js, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/jAlert/jAlert.min.js, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/jAlert/jAlert-functions.min.js, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/img/loading.gif, -
192.168.1.124, zyng, 15/09/2021, 23:43:47, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /get_catalog, -
192.168.1.124, zyng, 15/09/2021, 23:43:59, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, POST, /add_catalog, -
192.168.1.124, zyng, 15/09/2021, 23:44:09, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, POST, /add_catalog, -
